Unnamed: 0,feels like…,category,metaphorical_label
FORA, death. I swear I could see the light. ,uncategorized,
FORA,I'm 100. Turning this ship around one step at a time. ,uncategorized,
FORA,air bubbles moving up and down in my back and chest,uncategorized,Metaphorical (motion_forceful)
FORA,I am not getting a great breath in,uncategorized,
FORA, a pulled muscle,uncategorized,
FORA,a dragging sensation,uncategorized,
FORA,I am 9 months pregnant,uncategorized,
FORA,Horrible bearing down pressure ,"sensory, affective",Metaphorical (weight_pressure)
FORA,contraction-like stabbing pain,sensory,Metaphorical (violence_with_object)
FORA,I've been shot in the stomach,uncategorized,
FORA,there's an elephant sitting on my chest,uncategorized,
FORA,to carry a baby and ,uncategorized,
FORA, have its feet sticking up under your ribs,uncategorized,
FORA,someone is stabbing up inside my rectum with a knife...brings me to tears everytime ,"sensory, metaphorical",Metaphorical (violence_with_object)
FORA,what a baby feels like ,uncategorized,Metaphorical (Simile)
FORA,everything in my tummy is falling out when I walk,uncategorized,
FORA,ripping my insides out,uncategorized,Metaphorical (violent_action)
FORA,I did a lot of crunches,uncategorized,
FORA,my bladder is going to burst,uncategorized,
FORA,labor pains continuous for 7-10 days a month,temporal,Metaphorical (childbirth)
FORA,I have a coathanger pulling my insides out,uncategorized,Metaphorical (violent_action)
INTERVIEW,a balloon swelling up inside you ,uncategorized,
INTERVIEW,"a big, a lump of coal",uncategorized,
INTERVIEW,a furnace in your belly,uncategorized,
INTERVIEW,a hot cross bun on my stomach,sensory,
INTERVIEW,someone putting an iron to ,uncategorized,
INTERVIEW,"a huge muscle,like the worst muscle cramp ",uncategorized,
INTERVIEW,you're burning but on the inside,sensory,Metaphorical (heat_temperature)
INTERVIEW,a pumpkin ,uncategorized,
INTERVIEW,a real shooting pain front to back with a knitting needle,sensory,"Metaphorical (violence_with_object, motion_forceful)"
INTERVIEW,a screw is being tightened ,uncategorized,
INTERVIEW,"a thin, sharp needle right through",sensory,Metaphorical (violence_with_object)
INTERVIEW,but like someone's cutting you ,uncategorized,
INTERVIEW,a twisting,uncategorized,Metaphorical (violent_action)
INTERVIEW,everything's just pulling down,uncategorized,Metaphorical (violent_action)
INTERVIEW,my whole body can be in pain at the same time. ,uncategorized,
