Unnamed: 0,feels like…,category,auto_metaphorical_label,auto_metaphor_subtypes
SOCIAL MEDIA,I'm not just under the weather. I'm the Wicked Witch of the East UNDER the house the weather threw at me,uncategorized,,
SOCIAL MEDIA,"a violent, sporadic, samurai sword massacre in & around your delicates. ",uncategorized,,
SOCIAL MEDIA,a ninja is cutting apart my insides ,uncategorized,,
SOCIAL MEDIA,a swarm of angry european wasps invade your uterus,uncategorized,,
SURVEY,my uterus and other pelvic organs are trying to claw their way out.  ,uncategorized,,
SURVEY,Sometimes using a white hot poker. ,sensory,,
SURVEY,you peeled a grape and the remaining flesh is painful,uncategorized,,
SURVEY,my internal organs have been pulverized,uncategorized,,
SURVEY,my organs are going to fall out of my vagina,uncategorized,,
SURVEY,something is bursting to get out.,uncategorized,,
SURVEY,my insides are being rung out,uncategorized,,
SURVEY,Insides falling out ,uncategorized,,
SURVEY,with acid.,uncategorized,,
SURVEY,a stitch I got years ago. ,uncategorized,,
SURVEY,sharp knives or ,sensory,,
SURVEY,an electric shock playing in the pelvic area.,sensory,,
SURVEY,"Glass shards,",uncategorized,,
SURVEY, electric shocks,sensory,,
SURVEY,with barbwire ,uncategorized,,
SURVEY,something is shuddering inside,uncategorized,,
SURVEY,someone has shoved a sword or a poker into me jabbing away. ,uncategorized,,
SURVEY,when a cat steps on your full bladder but heavier and you don't need a wee.,uncategorized,,
SURVEY,an elephant is sitting on my abdomen sometimes,uncategorized,,
SURVEY,"a toxic, flesh-eating pufferfish ",uncategorized,,
SURVEY,"pulsating inside me,",uncategorized,,
SURVEY, scraping away at me. ,sensory,,
SURVEY, with flame torches closely examining the damage on the walls of my womb.,uncategorized,,
SURVEY, punched all at once. ,uncategorized,,
SURVEY,someone is squeezing my muscles and nerves and not letting go. ,sensory,,
SURVEY,someone with red hot pokers for fingers,sensory,,
SURVEY, dug into my lower abdomen and ,uncategorized,,
SURVEY,"I'm being cut, over and over again in my stomach ",uncategorized,,
SURVEY,something has burst and,uncategorized,,
SURVEY, it's destroying everything,uncategorized,,
SURVEY,my insides are wrapped in red-hot,sensory,,
SURVEY, barbed wire. ,uncategorized,,
SURVEY,or someone is grabbing my insides,uncategorized,,
SURVEY,red hot pokers inside my tummy ,sensory,,
SURVEY,"I did a million crunches, ",uncategorized,,
SURVEY,and like i haven't slept for days ,uncategorized,,
SURVEY,"Everything feels angry, ",uncategorized,,
SURVEY,Like barbed wire.,uncategorized,,
SURVEY,there's an alien trying to get out of me.   ,uncategorized,,
SURVEY,a skewer ,uncategorized,,
SURVEY,being tattooed on the inside.,uncategorized,,
SURVEY,Some scratching my insides,uncategorized,,
SURVEY,you just ran a marathon and need to lie down. ,uncategorized,,
SURVEY,or barbed wire is inside,uncategorized,,
SURVEY,a charly horse ,uncategorized,,
SURVEY,an elephant is sitting on my back or stomach,uncategorized,,
SURVEY,I'm pregnant. ,uncategorized,,
SURVEY,a wash cloth being rung out over and over again,uncategorized,,
SURVEY,a hot poker ,sensory,,
SURVEY,a sharp rod is being forced into my rectum. ,sensory,,
SURVEY,I'm being turned inside out. ,uncategorized,,
SURVEY,something inside will burst/rupture. ,uncategorized,,
SURVEY,blisters  ,uncategorized,,
SURVEY,my intestines were being tugged out of my anus when I had my period ,uncategorized,,
SURVEY,Freddy kugker playing hockey in my stomach. ,uncategorized,,
SURVEY,hockey in my stomach. ,uncategorized,,
SURVEY,using sharp tools. ,sensory,,
SURVEY,somebody is strangling my womb,uncategorized,,
SURVEY,"I become possessed by pain, like I am someone else that takes possession of my usual self",uncategorized,,
SURVEY,I am outside my body and my consciousness ,uncategorized,,
SURVEY,someone slowly stretching me apart some days,uncategorized,,
SURVEY,everything is dragging ,uncategorized,,
SURVEY,and going to fall out of me. ,uncategorized,,
SURVEY,Barbed wire and,uncategorized,,
SURVEY,a red hot poker up inside.,sensory,,
SURVEY, and glass,uncategorized,,
SURVEY,with a hot poker. ,sensory,,
SURVEY,a concrete block in my stomach weighing me down. ,uncategorized,,
SURVEY,I have  ball in blown up inside my stomach that's ready to burst ,uncategorized,,
SURVEY,balloon,uncategorized,,
SURVEY,a ball of pressure ,sensory,,
SURVEY,and cutting my stomach out and body up in 10 pieces.,uncategorized,,
SURVEY,seriously hot water dripping inside me ,sensory,,
SURVEY, and turned around,uncategorized,,
SURVEY,Someone took a red hot poker ,sensory,,
SURVEY,something is eating me from the inside out.  ,uncategorized,,
SURVEY,"makes me nauseated, dizzy and dissociated from my body.  ",uncategorized,,
SURVEY,someone took my insides and stepped on them threw them around rode a bike over them and then put back in my body. ,uncategorized,,
SURVEY,tiny blisters on the inside of my body that I would do anything to take out,uncategorized,,
SURVEY,something has ruptured,uncategorized,,
SURVEY,it has come back with a Vengeance to Derail me. ,uncategorized,,
SURVEY,someone is grabbing my intestines and ,uncategorized,,
SURVEY,squeezing/,sensory,,
SURVEY,your insides are going to fall out.,uncategorized,,
SURVEY,a dentist is picking at plaque ,uncategorized,,
SURVEY,a hot poker has been inserted inside of me and ,sensory,,
SURVEY,"you have been hit by a car, ",uncategorized,,
SURVEY,something is constantly tugging on my left ovary ,uncategorized,,
SURVEY,toothache but throughout my abdomen.,uncategorized,,
SURVEY,Sometimes being kicked or ,uncategorized,,
SURVEY, or something being forcefully jammed in the vagina.,uncategorized,,
SURVEY, At times the ache is sharper,uncategorized,,
SURVEY,something is clenching and ,uncategorized,,
SURVEY,and yanking my whole abdomen,uncategorized,,
SURVEY, getting poked ,uncategorized,,
SURVEY,and scrapped around my pelvis.  ,uncategorized,,
SURVEY,Sharp metal grinding against itself,sensory,,
SURVEY, cogs or machine parts. ,uncategorized,,
SURVEY, pulsating pain.,uncategorized,,
SURVEY, Eruptions.,uncategorized,,
SURVEY,my inner organs are being flayed,uncategorized,,
