feels like…,metaphor_type,metaphor_subtypes,experience_tags,salient_experience,intensity_level
having a hot poker planted inside of your stomach,metaphorical,['organic_entity'],['sensory'],sensory,
somebody's given you an electric shock,,[],[],,
somebody's twisting me,metaphorical,['violent_action'],['sensory'],sensory,
someone gripping the bottom of my spine ,,[],[],,
and crushing my spine continuously for two years,metaphorical,"['weight_pressure', 'violent_action']",['sensory'],sensory,
someone had shoved a poker up your backside ,,[],[],,
"someone is in your insides, pulling everything to bits ",metaphorical,['violent_action'],[],,
"someone putting a knitting needle through front to back, just straight through",metaphorical,['violence_with_object'],[],,
someone putting an iron to your back and it's hot and it actually feels like your skin's,simile,[],['sensory'],sensory,
someone squeezing your insides,,[],[],,
someone was twisting a knife inside me and...kind of winded me,metaphorical,"['violence_with_object', 'weather', 'violent_action']",['sensory'],sensory,
someone's cutting you ,,[],[],,
something's going to pop,,[],[],,
there's some kind of physical force,,[],[],,
this buzzing thing.,metaphorical,['attacking_agents'],[],,low
screws tightening,,[],['sensory'],sensory,medium
transcendental. Yeah yeah and nothing else matters. But not in a good way. ,,[],[],,
waves ,metaphorical,['weather'],[],,
someone punching my cervix,,[],[],,
contractions,metaphorical,['childbirth'],[],,
you can't hear anything,,[],[],,
something pulsing,metaphorical,['motion_forceful'],[],,
your insides are exploding,metaphorical,['motion_violent'],[],,
metal wool on the inside of your stomach ,,[],[],,
when someone has long nails against a chalk board,,[],[],,
you want to die,metaphorical,['death'],[],,
my insides were being pulled out through me,metaphorical,['violent_action'],[],,
you're dragging your insides,,[],[],,
your insides are gonna fall out on the floor,,[],[],,
you're being carved out like a pumpkin,simile,[],[],,
toothache pain in your back,,[],['sensory'],sensory,
your insides are exploding,metaphorical,['motion_violent'],[],,
your insides are gonna fall out on the floor,,[],[],,
your ovaries are just gonna like burst out  ,,[],[],,
your skin's hot but it's on the inside,,[],['sensory'],sensory,
someone is inside of me,,[],[],,
"someone's driven a knife into my side, or",metaphorical,['violence_with_object'],[],,
hammered or ,,[],[],,
 screwed ,,[],[],,
a storm that passes through your body  ,metaphorical,['weather'],[],,
Someone taking a rake to my uterus or ,,[],[],,
there is a large knife/sword just sticking in my side at all times,metaphorical,['violence_with_object'],[],,
something is stuck in my abdomen but it has no way of getting out,metaphorical,['journey'],[],,
 I've got a balloon inside me pushing on everything,metaphorical,['childbirth'],[],,
a slow grind ,,[],[],,
with vice grips,,[],[],,
heavy as a bowling ball ,metaphorical,['weight_pressure'],[],,
 pressing against my bowels,metaphorical,['weight_pressure'],[],,
I thought I was losing my mind,,[],['affective'],affective,
tiny men playing,,[],[],,
 tug-a-war ,metaphorical,['conflict'],[],,
with barb wire,,[],[],,
a knife jabbed in your stomach,metaphorical,['violence_with_object'],[],,
I feel chained down by my flesh prison,metaphorical,['confinement'],[],,
being gutted by an invisible knife for 5 days,metaphorical,['violence_with_object'],[],,
someone is squeezing or,,[],[],,
jabbing my womb and at times like my womb is trying to pull away from my body,metaphorical,['violent_action'],[],,
a rake or a cheese grater is scraping my insides,,[],[],,
like my abdomen is filed with blood and could burst open,,[],[],,
a heavy weight in your pelvis & upper legs is puling you down,metaphorical,['weight_pressure'],[],,
my insides are being ripped apart when i walk ,metaphorical,['violent_action'],[],,
knitting needles being pushed through your abdomen,metaphorical,"['childbirth', 'violence_with_object']",[],,
if I move I'll rip,metaphorical,"['motion_forceful', 'violent_action']",[],,
there's a balloon inflated inside me ,,[],[],,
 squashing everything and putting pressure on my bladder and other organs,,[],[],,
A t-rex has been unleashed on my insides,,[],[],,
my insides are swollen and trying to escape,,[],[],,
a hedgehog is running around my uterus,,[],[],,
I just want to rip my insides out,metaphorical,['violent_action'],[],,
there's a hot coal rollin around in my uterus,,[],['sensory'],sensory,
my internal organs try to strangle each other,,[],[],,
My insides are on fire.,metaphorical,['heat_temperature'],['sensory'],sensory,
I'm not just under the weather. I'm the Wicked Witch of the East UNDER the house the weather threw at me,,[],['affective'],affective,
"a violent, sporadic, samurai sword massacre in & around your delicates. ",,[],[],,
a ninja is cutting apart my insides ,,[],[],,
a swarm of angry european wasps invade your uterus,,[],[],,
my uterus and other pelvic organs are trying to claw their way out.  ,,[],[],,
Sometimes using a white hot poker. ,,[],['sensory'],sensory,
Uterus will feel heavy,metaphorical,['weight_pressure'],[],,
you peeled a grape and the remaining flesh is painful,,[],['sensory'],sensory,
waves of cramp,metaphorical,['weather'],[],,
my internal organs have been pulverized,,[],[],,
I am in labour but without having a break between contractions,metaphorical,"['childbirth', 'injury', 'violent_action']",[],,
my organs are going to fall out of my vagina,,[],[],,
something is bursting to get out.,,[],['sensory'],sensory,
my insides are being rung out,,[],[],,
my insides are twisting ,metaphorical,['violent_action'],['sensory'],sensory,
when I walk then ripping inside me,metaphorical,['violent_action'],[],,
Insides falling out ,,[],[],,
while on fire ,metaphorical,['heat_temperature'],['sensory'],sensory,
with acid.,,[],[],,
and twisting them around and around. ,metaphorical,['violent_action'],['sensory'],sensory,
there's a demon inside trying to claw it's way out.,metaphorical,['attacking_agents'],[],,
a stitch I got years ago. ,,[],[],,
lots of needles cramping up inside of my pelvis,metaphorical,['violence_with_object'],[],,
somebody is pulling your pelvic down so strongly,metaphorical,['violent_action'],[],,
sharp knives or ,,[],[],,medium
an electric shock playing in the pelvic area.,,[],[],,
"Glass shards,",,[],[],,
 electric shocks,,[],[],,
someone is twisting my insides and won't let their grip go. ,metaphorical,['violent_action'],['sensory'],sensory,
It's a warm feeling the spreads throughout the back and abdomen.,metaphorical,"['illness', 'organic_entity']",[],,
someone is ripping my insides out ,metaphorical,['violent_action'],[],,
with barbwire ,,[],[],,
something is shuddering inside,,[],[],,
someone has shoved a sword or a poker into me jabbing away. ,,[],[],,
when a cat steps on your full bladder but heavier and you don't need a wee.,,[],[],,
an elephant is sitting on my abdomen sometimes,,[],[],,
"a toxic, flesh-eating pufferfish ",,[],[],,
"pulsating inside me,",,[],[],,
 scraping away at me. ,,[],[],,
an army of molten spiders are strolling around ,metaphorical,['heat_temperature'],[],,
an army of molten spiders are strolling around ,metaphorical,['heat_temperature'],[],,
an army of molten spiders are strolling around ,metaphorical,['heat_temperature'],[],,
 with flame torches closely examining the damage on the walls of my womb.,,[],[],,
labor ,metaphorical,['childbirth'],[],,
someone has a hold of your pelvis/cervix and are pulling really hard.,metaphorical,"['confinement', 'violent_action']",[],,
 ripped apart,metaphorical,['violent_action'],[],,
 punched all at once. ,,[],[],,
It burns like the skin is being pulled away.,metaphorical,"['heat_temperature', 'violent_action']",['sensory'],sensory,
someone is pushing down hard and not letting up.  ,metaphorical,['childbirth'],[],,
someone is squeezing my muscles and nerves and not letting go. ,,[],[],,
my insides are being ripped apart,metaphorical,['violent_action'],[],,
when a car I'm in goes over a bump (or even just a non-paved road). ,metaphorical,['journey'],[],,
someone with red hot pokers for fingers,,[],['sensory'],sensory,
 dug into my lower abdomen and ,,[],[],,
 is trying to pull my insides out through my vagina.,metaphorical,['violent_action'],[],,
"I'm being cut, over and over again in my stomach ",,[],[],,
I have loads of gnawing teeth inside trying to eat there way out. ,metaphorical,['weight_pressure'],[],,
I am about to give birth to my internal organs.,metaphorical,['childbirth'],[],,
something has burst and,,[],[],,
 it's destroying everything,,[],[],,
 as it spreads,metaphorical,"['illness', 'organic_entity']",[],,
someone's slowly trying to rip my organs out,metaphorical,['violent_action'],[],,
my insides are wrapped in red-hot,,[],['sensory'],sensory,
 barbed wire. ,,[],[],,
or someone is grabbing my insides,,[],[],,
red hot pokers inside my tummy ,,[],['sensory'],sensory,
being twisted constantly ,metaphorical,['violent_action'],['temporal'],temporal,
"I did a million crunches, ",,[],[],,
and like i haven't slept for days ,,[],[],,
"Everything feels angry, ",,[],[],,
and on fire. ,metaphorical,['heat_temperature'],['sensory'],sensory,
Like barbed wire.,,[],[],,
there's an alien trying to get out of me.   ,,[],[],,
a skewer ,,[],[],,
has been pushed inside of me ,metaphorical,['childbirth'],[],,
"and speared through my ovaries, uterus etc. ",metaphorical,['violence_with_object'],[],,
being tattooed on the inside.,,[],[],,
Some scratching my insides,,[],[],,
a knife was piercing it.,metaphorical,['violence_with_object'],[],,
you just ran a marathon and need to lie down. ,,[],[],,
Sometimes it feels like a hot poker ,simile,[],['sensory'],sensory,
or barbed wire is inside,,[],[],,
a charly horse ,,[],[],,
an elephant is sitting on my back or stomach,,[],[],,
I'm pregnant. ,,[],[],,
a wash cloth being rung out over and over again,,[],[],,
a hot poker ,,[],['sensory'],sensory,
is being drilled through me. ,metaphorical,['violence_with_object'],[],,
a sharp rod is being forced into my rectum. ,,[],[],,medium
I'm being turned inside out. ,,[],[],,
something inside will burst/rupture. ,,[],[],,
my pelvic area is always heavy.,metaphorical,['weight_pressure'],['temporal'],temporal,
blisters  ,,[],[],,
Braxton Hicks contractions,metaphorical,['childbirth'],[],,
all over body pain when inflamed,metaphorical,['illness'],['sensory'],sensory,
my lower back and stomach is trying to break free from the rest of my body,metaphorical,"['injury', 'violent_action']",[],,
my intestines were being tugged out of my anus when I had my period ,,[],[],,
Freddy kugker playing hockey in my stomach. ,,[],[],,
hockey in my stomach. ,,[],[],,
I'm trying to give birth to my spine ,metaphorical,['childbirth'],[],,
my insides are battling between themselves ,metaphorical,['conflict'],[],,
using sharp tools. ,,[],[],,medium
somebody is strangling my womb,,[],[],,
"I become possessed by pain, like I am someone else that takes possession of my usual self",,[],['sensory'],sensory,
I am outside my body and my consciousness ,,[],[],,
my uterus/bowel is being squeezed inside a Panini press. ,metaphorical,['weight_pressure'],[],,
 And sometimes it feels like the panini press have spikes attached,simile,['weight_pressure'],[],,
