feels like…,category,metaphor_type,metaphor_subtypes,experience_tags,salient_experience,intensity_level
"I've just done a 12 hour shift on the ward, when I've just woken up",uncategorized,,[],[],,
l'm going to shit out my insides ,uncategorized,,[],[],,
a hot poker or ,sensory,,[],['sensory'],sensory,
 a knife being shoved inside me,metaphorical,,[],[],,
it radiates to my knee ,uncategorized,,[],[],,
a muscular pain,uncategorized,,[],['sensory'],sensory,
tunnel vision,uncategorized,,[],[],,
you're burning but on the inside,sensory,,[],['sensory'],sensory,high
it's very mechanical,uncategorized,,[],[],,
unnatural for the environment,uncategorized,,[],[],,
sort of beyond human consciousness ,uncategorized,,[],[],,
someone's just opened turned all the lights on. And you can see and breathe ,uncategorized,,[],[],,low
somebody's twisting me,uncategorized,,[],['sensory'],sensory,
scraping,sensory,,[],[],,
two discs or cogs or something like that,uncategorized,,[],[],,
radiating from the centre,sensory,,[],[],,
machine. ,uncategorized,,[],[],,
metal against metal,uncategorized,,[],[],,
sparks even,uncategorized,,[],[],,
 just like grinding against,uncategorized,,[],[],,
my insides were being pulled out through me,uncategorized,,[],[],,
my ovary is going ba boom ba boom ba boom,uncategorized,,[],[],,
my womb is going to explode,uncategorized,,[],['affective'],affective,high
there's a thousand tiny men stabbing at it [my womb],sensory,,[],['sensory'],sensory,high
possesses you  ,uncategorized,,[],[],,
ripped out ,uncategorized,,[],[],,
my insides were trying to kill me ,uncategorized,,[],[],,
somebody has taken hold of the inside of my ribcage and sort of my right side and is just like ,uncategorized,,[],[],,
somebody putting barbed wire through your belly button,uncategorized,,[],[],,
 in a figure of eight around your pelvis ,uncategorized,,[],[],,
having a hot poker planted inside of your stomach,sensory,,[],['sensory'],sensory,
somebody wants to make it explode somehow,uncategorized,,[],['affective'],affective,high
somebody's given you an electric shock,sensory,,[],[],,
somebody's twisting me,uncategorized,,[],['sensory'],sensory,
someone gripping the bottom of my spine ,uncategorized,,[],[],,
and crushing my spine continuously for two years,uncategorized,,[],['sensory'],sensory,
someone had shoved a poker up your backside ,uncategorized,,[],[],,
"someone is in your insides, pulling everything to bits ",uncategorized,,[],[],,
"someone putting a knitting needle through front to back, just straight through",uncategorized,,[],[],,
