Unnamed: 0,feels like…,category,metaphor_type,metaphor_subtypes,experience_tags,salient_experience,intensity_level
INTERVIEW,my whole body can be in pain at the same time. ,uncategorized,,[],['sensory'],sensory,
INTERVIEW,a storm that passes through your body ,metaphorical,,[],[],,
INTERVIEW,agonising,uncategorized,,[],[],,
INTERVIEW,amnesia ...because my talking brain stops being charge an,uncategorized,,[],[],,
INTERVIEW,pushing everything out and away,uncategorized,,[],[],,
INTERVIEW,someone gripping the botto,uncategorized,,[],[],,
INTERVIEW,a whole body pain,uncategorized,,[],['sensory'],sensory,
INTERVIEW,being ripped out ,uncategorized,,[],[],,
INTERVIEW,burst out ,uncategorized,,[],[],,
INTERVIEW,claws around my womb,uncategorized,,[],[],,
INTERVIEW,I'm doomed,uncategorized,,[],[],,
INTERVIEW,having a hot poker planted inside of your stomach,sensory,,[],['sensory'],sensory,
INTERVIEW,I had a balloon,uncategorized,,[],[],,
INTERVIEW,I lose my sense of self,uncategorized,,[],[],,
INTERVIEW,I was trying to give birth to a pineapple,uncategorized,,[],[],,
INTERVIEW,I had an operation ...just a general tenderness,uncategorized,,[],[],,
INTERVIEW,I'm in labour …I'm giving birth,uncategorized,,[],[],,
INTERVIEW,I've been run over,uncategorized,,[],[],,
INTERVIEW,"I've just done a 12 hour shift on the ward, when I've just woken up",uncategorized,,[],[],,
INTERVIEW,l'm going to shit out my insides ,uncategorized,,[],[],,
INTERVIEW,a hot poker or ,sensory,,[],['sensory'],sensory,
INTERVIEW, a knife being shoved inside me,metaphorical,,[],[],,
INTERVIEW,it radiates to my knee ,uncategorized,,[],[],,
INTERVIEW,a muscular pain,uncategorized,,[],['sensory'],sensory,
INTERVIEW,tunnel vision,uncategorized,,[],[],,
INTERVIEW,you're burning but on the inside,sensory,,[],['sensory'],sensory,high
INTERVIEW,it's very mechanical,uncategorized,,[],[],,
INTERVIEW,unnatural for the environment,uncategorized,,[],[],,
INTERVIEW,sort of beyond human consciousness ,uncategorized,,[],[],,
INTERVIEW,someone's just opened turned all the lights on. And you can see and breathe ,uncategorized,,[],[],,low
INTERVIEW,somebody's twisting me,uncategorized,,[],['sensory'],sensory,
INTERVIEW,scraping,sensory,,[],[],,
INTERVIEW,two discs or cogs or something like that,uncategorized,,[],[],,
INTERVIEW,radiating from the centre,sensory,,[],[],,
INTERVIEW,machine. ,uncategorized,,[],[],,
INTERVIEW,metal against metal,uncategorized,,[],[],,
INTERVIEW,sparks even,uncategorized,,[],[],,
INTERVIEW, just like grinding against,uncategorized,,[],[],,
INTERVIEW,my insides were being pulled out through me,uncategorized,,[],[],,
INTERVIEW,my ovary is going ba boom ba boom ba boom,uncategorized,,[],[],,
INTERVIEW,my womb is going to explode,uncategorized,,[],['affective'],affective,high
INTERVIEW,there's a thousand tiny men stabbing at it [my womb],sensory,,[],['sensory'],sensory,high
INTERVIEW,possesses you  ,uncategorized,,[],[],,
INTERVIEW,ripped out ,uncategorized,,[],[],,
INTERVIEW,my insides were trying to kill me ,uncategorized,,[],[],,
INTERVIEW,somebody has taken hold of the inside of my ribcage and sort of my right side and is just like ,uncategorized,,[],[],,
INTERVIEW,somebody putting barbed wire through your belly button,uncategorized,,[],[],,
INTERVIEW, in a figure of eight around your pelvis ,uncategorized,,[],[],,
INTERVIEW,having a hot poker planted inside of your stomach,sensory,,[],['sensory'],sensory,
INTERVIEW,somebody wants to make it explode somehow,uncategorized,,[],['affective'],affective,high
INTERVIEW,somebody's given you an electric shock,sensory,,[],[],,
INTERVIEW,somebody's twisting me,uncategorized,,[],['sensory'],sensory,
INTERVIEW,someone gripping the bottom of my spine ,uncategorized,,[],[],,
INTERVIEW,and crushing my spine continuously for two years,uncategorized,,[],['sensory'],sensory,
INTERVIEW,someone had shoved a poker up your backside ,uncategorized,,[],[],,
INTERVIEW,"someone is in your insides, pulling everything to bits ",uncategorized,,[],[],,
INTERVIEW,"someone putting a knitting needle through front to back, just straight through",uncategorized,,[],[],,
INTERVIEW,someone putting an iron to your back and it's hot and it actually feels like your skin's,sensory,,[],['sensory'],sensory,
INTERVIEW,someone squeezing your insides,sensory,,[],[],,
INTERVIEW,someone was twisting a knife inside me and...kind of winded me,metaphorical,,[],['sensory'],sensory,
INTERVIEW,someone's cutting you ,uncategorized,,[],[],,
INTERVIEW,something's going to pop,uncategorized,,[],[],,
INTERVIEW,someone actually burning your skin,sensory,,[],['sensory'],sensory,high
INTERVIEW,there was a burning golfball just inside me,sensory,,[],['sensory'],sensory,high
INTERVIEW,there's some kind of physical force,uncategorized,,[],[],,
INTERVIEW,this buzzing thing.,uncategorized,,[],[],,low
INTERVIEW,screws tightening,uncategorized,,[],['sensory'],sensory,medium
INTERVIEW,transcendental. Yeah yeah and nothing else matters. But not in a good way. ,uncategorized,,[],[],,
INTERVIEW,waves ,uncategorized,,[],[],,
INTERVIEW,someone punching my cervix,uncategorized,,[],[],,
INTERVIEW,contractions,uncategorized,,[],[],,
INTERVIEW,you can't hear anything,uncategorized,,[],[],,
INTERVIEW,something pulsing,sensory,,[],[],,
INTERVIEW,your insides are exploding,uncategorized,,[],[],,
INTERVIEW,somebody wants to make it explode somehow,uncategorized,,[],['affective'],affective,high
INTERVIEW,metal wool on the inside of your stomach ,uncategorized,,[],[],,
INTERVIEW,when someone has long nails against a chalk board,uncategorized,,[],[],,
INTERVIEW,you want to die,uncategorized,,[],[],,
INTERVIEW,my insides were being pulled out through me,uncategorized,,[],[],,
INTERVIEW,you're dragging your insides,uncategorized,,[],[],,
INTERVIEW,your insides are gonna fall out on the floor,uncategorized,,[],[],,
INTERVIEW,"you're in the early stages of labour, sort of puffing and panting, contracting, burning",sensory,,[],['sensory'],sensory,high
INTERVIEW,you're being carved out like a pumpkin,uncategorized,,[],[],,
INTERVIEW,you're burning but on the inside,sensory,,[],['sensory'],sensory,high
INTERVIEW,toothache pain in your back,uncategorized,,[],['sensory'],sensory,
INTERVIEW,your insides are exploding,uncategorized,,[],[],,
INTERVIEW,your insides are gonna fall out on the floor,uncategorized,,[],[],,
INTERVIEW,your ovaries are just gonna like burst out  ,uncategorized,,[],[],,
INTERVIEW,your skin's hot but it's on the inside,sensory,,[],['sensory'],sensory,
INTERVIEW,someone is inside of me,uncategorized,,[],[],,
INTERVIEW,"someone's driven a knife into my side, or",metaphorical,,[],[],,
INTERVIEW,hammered or ,uncategorized,,[],[],,
INTERVIEW, screwed ,uncategorized,,[],[],,
INTERVIEW,a storm that passes through your body  ,metaphorical,,[],[],,
SOCIAL MEDIA,Someone taking a rake to my uterus or ,uncategorized,,[],[],,
SOCIAL MEDIA,someone stabbing me repeatedly with a large knife,"sensory, metaphorical",,[],['sensory'],sensory,high
SOCIAL MEDIA,there is a large knife/sword just sticking in my side at all times,metaphorical,,[],[],,
SOCIAL MEDIA,something is stuck in my abdomen but it has no way of getting out,uncategorized,,[],[],,
SOCIAL MEDIA, I've got a balloon inside me pushing on everything,uncategorized,,[],[],,
SOCIAL MEDIA,multiple knives stabbing me in my ovaries,sensory,,[],['sensory'],sensory,high
SOCIAL MEDIA,a slow grind ,uncategorized,,[],[],,
SOCIAL MEDIA,with vice grips,uncategorized,,[],[],,
SOCIAL MEDIA,heavy as a bowling ball ,uncategorized,,[],[],,
SOCIAL MEDIA, pressing against my bowels,uncategorized,,[],[],,
SOCIAL MEDIA,I thought I was losing my mind,uncategorized,,[],['affective'],affective,
SOCIAL MEDIA,tiny men playing,uncategorized,,[],[],,
SOCIAL MEDIA, tug-a-war ,uncategorized,,[],[],,
SOCIAL MEDIA,with barb wire,uncategorized,,[],[],,
SOCIAL MEDIA,a knife jabbed in your stomach,metaphorical,,[],[],,
SOCIAL MEDIA,I feel chained down by my flesh prison,metaphorical,,[],[],,
